full_name,selling_price,year,seller_type,km_driven,fuel_type,transmission_type,mileage,engine,max_power,seats
Maruti Alto Std,1.2,2012.0,Individual,120000,Petrol,Manual,19.7,796.0,46.3,5.0
Hyundai Grand i10 Asta,5.5,2016.0,Individual,20000,Petrol,Manual,18.9,1197.0,82.0,5.0
Hyundai i20 Asta,2.15,2010.0,Individual,60000,Petrol,Manual,17.0,1197.0,80.0,5.0
Maruti Alto K10 2010-2014 VXI,2.26,2012.0,Individual,37000,Petrol,Manual,20.92,998.0,67.1,5.0
Ford Ecosport 2015-2021 1.5 TDCi Titanium BSIV,5.7,2015.0,Dealer,30000,Diesel,Manual,22.77,1498.0,98.59,5.0
Maruti Wagon R VXI BS IV,3.5,2013.0,Individual,35000,Petrol,Manual,18.9,998.0,67.1,5.0
Hyundai i10 Sportz 1.2,3.15,2013.0,Dealer,40000,Petrol,Manual,20.36,1197.0,78.9,5.0
Maruti Wagon R VXI,4.1,2018.0,Dealer,17512,Petrol,Manual,20.51,998.0,67.04,5.0
Hyundai Venue SX Plus Turbo DCT BSIV,10.5,2019.0,Individual,20000,Petrol,Automatic,18.15,998.0,118.35,5.0
Mahindra TUV 300 T6,5.75,2017.0,Dealer,70000,Diesel,Manual,18.49,1493.0,100.0,7.0
Tata Indigo LX (TDI) BS-III,3.05,2015.0,Individual,50000,Diesel,Manual,19.09,1405.0,69.01,5.0
Renault Captur Platine Dual Tone Diesel,11.5,2019.0,Individual,18000,Diesel,Manual,20.37,1461.0,108.49,5.0
Maruti Swift VXI with ABS,5.11,2017.0,Dealer,28321,Petrol,Manual,16.6,1197.0,85.0,5.0
Nissan Micra XL CVT,4.1,2016.0,Dealer,27000,Petrol,Automatic,19.34,1198.0,76.0,5.0
Hyundai Verna 1.6 SX,4.25,2013.0,Dealer,65278,Diesel,Manual,22.32,1582.0,126.32,5.0
Renault Duster 110PS Diesel RxL Explore,7.5,2016.0,Individual,50000,Diesel,Manual,19.64,1461.0,108.45,5.0
Mini Cooper Cooper S,32.5,2017.0,Dealer,6000,Petrol,Automatic,14.41,1998.0,189.08,5.0
Maruti Ciaz ZDi Plus SHVS,6.5,2016.0,Dealer,76000,Diesel,Manual,28.09,1248.0,88.5,5.0
Maruti Swift VDI BSIV,6.27,2016.0,Individual,20000,Diesel,Manual,25.2,1248.0,74.0,5.0
Mercedes-Benz C-Class C 220 CDI Avantgarde,14.25,2014.0,Dealer,65000,Diesel,Automatic,19.27,2143.0,170.0,5.0
Maruti Swift VDI,4.25,2014.0,Dealer,62200,Diesel,Manual,28.4,1248.0,74.0,5.0
Toyota Innova 2.5 GX (Diesel) 8 Seater,6.05,2013.0,Individual,110000,Diesel,Manual,12.99,2494.0,100.6,8.0
Maruti Baleno Zeta 1.2,6.0,2015.0,Individual,20000,Petrol,Manual,21.4,1197.0,83.1,5.0
Maruti Swift Dzire VXI,5.75,2016.0,Individual,40000,Petrol,Manual,20.85,1197.0,83.14,5.0
Fiat Grande Punto 1.3 Emotion Pack (Diesel),2.6,2012.0,Individual,97000,Diesel,Manual,17.8,1248.0,76.0,5.0
Volkswagen Vento 1.6 Comfortline BSIV,4.25,2013.0,Dealer,47000,Petrol,Manual,16.09,1598.0,103.2,5.0
Maruti Alto K10 2010-2014 VXI,2.3,2013.0,Dealer,25000,Petrol,Manual,20.92,998.0,67.1,5.0
Hyundai Creta 1.6 CRDi SX,12.25,2019.0,Individual,15000,Diesel,Manual,19.67,1582.0,126.2,5.0
